Type,Filename or Regex,Version or Message digest,Documentation URL,Provider,Notice,License 1,License 2, License 3
JAVA,identitymanagement-provider-interface.jar,0E8764E0BF22FEEF8DAF4B3BFEFDD008F80E0F4EAD645234BAC0D368E9738934,,unknown,,NLIL,,
JAVA,infinispan-remote-9.3.1.Final.jar,9.3.1.Final,,JBoss,,Apache-2.0,,
JAVA,ini4j.jar,85D0C84907E1D65A7A2E643305FB611E7569F886C70F0284BF6F46B1C7724F7A,,ini4j,,Apache-2.0,,
JAVA,ini4j-0.5.4.jar,AAD60635EEE567254ED29F18FB18C0F9E4C4DACF51C8229128203183BB35E2DD,,ini4j,,Apache-2.0,,
JAVA,jackson-annotations-2.8.8.jar,2.8.8,,fasterxml,,Apache-2.0,,
JAVA,jackson-core-2.8.6.jar,2.8.6,,fasterxml,,Apache-2.0,,
JAVA,jackson-core-2.8.8.jar,2.8.8,,fasterxml,,Apache-2.0,,
JAVA,jackson-core-asl-1.9.9-redhat-2.jar,1.9.9.redhat-2,,fasterxml,,Apache-2.0,,
JAVA,jackson-databind-2.8.8.jar,2.8.8,,fasterxml,,Apache-2.0,,
JAVA,jackson-dataformat-cbor-2.8.6.jar,2.8.6,,fasterxml,,Apache-2.0,,
JAVA,jackson-dataformat-smile-2.8.6.jar,2.8.6,,fasterxml,,Apache-2.0,,
JAVA,jackson-dataformat-yaml-2.8.6.jar,2.8.6,,fasterxml,,Apache-2.0,,
JAVA,jackson-mapper-asl-1.9.9-redhat-2.jar,1.9.9.redhat-2,,fasterxml,,Apache-2.0,,
JAVA,jacocoagent.jar,0.5.0.20110119215959,,EclipseFoundation,,EPL-1.0,,
JAVA,jacocoant.jar,0.5.0.20110119215959,,EclipseFoundation,,EPL-1.0,,
JAVA,javassist_3.18.1.GA.jar,3.18.1.GA,,jboss-javassist,,MPL-1.1,LGPL-2.1,Apache-2.0
JAVA,javax.activation.source_1.1.0.v201211130549.jar,1.1.0.v201211130549,,EclipseFoundation,,EPL-1.0,,
JAVA,javax.activation_1.1.0.v201108011116.jar,1.1.0.v201108011116,,EclipseFoundation,,EPL-1.0,,
JAVA,javax.activation_1.1.0.v201211130549.jar,1.1.0.v201211130549,,EclipseFoundation,,EPL-1.0,,
JAVA,javax.enterprise.cdi-api_1.2.0.jar,1.2.0,,JBoss,,Apache-2.0,,
JAVA,javax.inject.source_1.0.0.v20091030.jar,1.0.0.v20091030,,EclipseFoundation,,EPL-1.0,,
JAVA,javax.inject_1.0.0.v20091030.jar,1.0.0.v20091030,,EclipseFoundation,,EPL-1.0,,
JAVA,javax.inject_1.0.0.v20091030.jar,1.0.0.v20091030,,EclipseFoundation,,EPL-1.0,,
JAVA,javax.jws.source_2.0.0.v201005080400.jar,2.0.0.v201005080400,,EclipseFoundation,,EPL-1.0,,
JAVA,javax.jws_2.0.0.v201005080400.jar,2.0.0.v201005080400,,EclipseFoundation,,EPL-1.0,,
JAVA,javax.mail.jar,1.5.0,,Oracle,,GPL_CDDL_CPE,,
JAVA,javax.mail_1.4.0.v201005080615.jar,1.4.0.v201005080615,,EclipseFoundation,,EPL-1.0,,
JAVA,javax.persistence_2.1.0.v201304241213.jar,2.1.0.v201304241213,,EclipseFoundation,,EPL-1.0,,
JAVA,javax.validation.api_1.1.0.Final.jar,1.1.0.Final,,JBoss,,Apache-2.0,,
JAVA,javax.wsdl.source_1.6.2.v201012040545.jar,1.6.2.v201012040545,,EclipseFoundation,,EPL-1.0,,
JAVA,javax.wsdl_1.6.2.v201012040545.jar,1.6.2.v201012040545,,EclipseFoundation,,EPL-1.0,,
JAVA,javax.xml.bind.source_2.2.0.v201105210648.jar,2.2.0.v201105210648,,EclipseFoundation,,EPL-1.0,,
JAVA,javax.xml.rpc_1.1.0.v201209140446,1.1.0.v201209140446,,EclipseFoundation,,EPL-1.0,,
JAVA,javax.xml.soap_1.3.0.v201105210645,1.3.0.v201105210645,,EclipseFoundation,,EPL-1.0,,
JAVA,javax.xml.stream_1.0.1.v201004272200.jar,1.0.1.v201004272200,,EclipseFoundation,,EPL-1.0,,
JAVA,javax.xml.ws_2.1.0.v200902101523.jar,2.1.0.v200902101523,,EclipseFoundation,,EPL-1.0,,
JAVA,javax.xml_1.3.4.v201005080400.jar,1.3.4.v201005080400,,EclipseFoundation,,EPL-1.0,,
JAVA,jboss-jaxrs-api_1.1_spec-1.0.1.Final-redhat-2.jar,1.0.1.Final-redhat-2,,JBoss,,CDDL-1.0,,
JAVA,jboss-servlet-api_3.0_spec-1.0.2.Final-redhat-1.jar,1.0.2.Final-redhat-1,,JBoss,,GPL_CDDL_CPE,,
JAVA,jmockit-1.37.jar,1.37,,RogerioLiesenfeld,,MIT,,
JAVA,jna-4.5.0.jar,4.5.0,https://github.com/java-native-access/jna/blob/4.5.X/LICENSE,jnadevelopmentteam,,Apache-2.0,,
JAVA,JobAPI2WebWrapped.jar,7680B000311E98BF57B9188024A1F7C00E9520E65BE1ED5412AF72C6D8EFAB10,,TODO,,NLIL,,
JAVA,JobAPIWebWrapped.jar,3798504B56DB16D3196883A5E6176B97B0349F46EBECFB2A5BA8BE39CE0E9CCB,,TODO,,NLIL,,
JAVA,joda-time-2.9.5.jar,2.9.5,,Joda,,Apache-2.0,,
JAVA,jopt-simple-5.0.2.jar,5.0.2,,joptsimple,,MIT,,
JAVA,jsqlparser-0.9.5.jar,4286FBA4B610EE7DC0D7D66FA1EDD4344E893E37495D11EC059AA470A38B952C,,tobiaswarneke,,Apache-2.0,LGPL-2.1,
JAVA,jsr94.jar,E76DA8C46A88A60CA0B94134F6BC3E24A08C058C62A248D62A9463DF68B5D615,,,,NLIL,,
JAVA,jta.jar,5BC89D0A1CAECD25E9323144624FD26DF4326C84DA8658F08F5CC588EE25CCA9,,glassfish,,GPL_CDDL_CPE,,
JAVA,junit.jar,4.12,,EclipseFoundation,,EPL-1.0,,
JAVA,lang-mustache-client-5.4.1.jar,5.4.1,,Oracle,,Apache-2.0,,
JAVA,libthrift-0.7.0.jar,0.7.0,,apache,,Apache-2.0,,
JAVA,log4j-1.2.14.jar,E3BFF9AB64A09B1AC2800F3B5FB1E3D99728064ACB6DD3924938507638A404FB,,Sun,,Apache-2.0,,
JAVA,log4j-1.2.15.jar,9F5F5799707881451A39C1B2DD22B4E43B97A80698DB7DAF1C9697F545E24387,,Sun,,Apache-2.0,,
JAVA,log4j-1.2-api-2.8.2.jar,2.8.2,,apache,,Apache-2.0,,
JAVA,log4j-api-2.8.2.jar,2.8.2,,apache,,Apache-2.0,,
JAVA,log4j-core-2.8.2.jar,2.8.2,,apache,,Apache-2.0,,
JAVA,lucene-analyzers-common-6.5.1.jar,6.5.1 cd1f23c63abe03ae650c75ec8ccb37762806cc75 - jimczi - 2017-04-21 12:17:53,,apache,,Apache-2.0,,
JAVA,lucene-backward-codecs-6.5.1.jar,6.5.1 cd1f23c63abe03ae650c75ec8ccb37762806cc75 - jimczi - 2017-04-21 12:18:00,,apache,,Apache-2.0,,
JAVA,lucene-core-6.5.1.jar,6.5.1 cd1f23c63abe03ae650c75ec8ccb37762806cc75 - jimczi - 2017-04-21 12:17:15,,apache,,Apache-2.0,,
JAVA,lucene-grouping-6.5.1.jar,6.5.1 cd1f23c63abe03ae650c75ec8ccb37762806cc75 - jimczi - 2017-04-21 12:18:05,,apache,,Apache-2.0,,
JAVA,lucene-highlighter-6.5.1.jar,6.5.1 cd1f23c63abe03ae650c75ec8ccb37762806cc75 - jimczi - 2017-04-21 12:18:05,,apache,,Apache-2.0,,
JAVA,lucene-join-6.5.1.jar,6.5.1 cd1f23c63abe03ae650c75ec8ccb37762806cc75 - jimczi - 2017-04-21 12:18:06,,apache,,Apache-2.0,,
JAVA,lucene-memory-6.5.1.jar,6.5.1 cd1f23c63abe03ae650c75ec8ccb37762806cc75 - jimczi - 2017-04-21 12:18:07,,apache,,Apache-2.0,,
JAVA,lucene-misc-6.5.1.jar,6.5.1 cd1f23c63abe03ae650c75ec8ccb37762806cc75 - jimczi - 2017-04-21 12:18:07,,apache,,Apache-2.0,,
JAVA,lucene-queries-6.5.1.jar,6.5.1 cd1f23c63abe03ae650c75ec8ccb37762806cc75 - jimczi - 2017-04-21 12:18:08,,apache,,Apache-2.0,,
JAVA,lucene-queryparser-6.5.1.jar,6.5.1 cd1f23c63abe03ae650c75ec8ccb37762806cc75 - jimczi - 2017-04-21 12:18:09,,apache,,Apache-2.0,,
JAVA,lucene-sandbox-6.5.1.jar,6.5.1 cd1f23c63abe03ae650c75ec8ccb37762806cc75 - jimczi - 2017-04-21 12:18:10,,apache,,Apache-2.0,,
